"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"1","mB","ve|l'l'",NA,NA,"","UR1(47)","zaitseva_novyi_2007",""
"2","mZ","sizar",NA,NA,"","UR1(414)","zaitseva_novyi_2007",""
"3","meB","ve|l'l'",NA,NA,"","UR1(47)","zaitseva_novyi_2007","veik is eldest brother (UR19)"
"4","myB","ve|l'l'",NA,NA,"","UR1(47)","zaitseva_novyi_2007",""
"5","meZ","čižoi",NA,NA,"","UR1(414)","zaitseva_novyi_2007","UR19 says no e/y distinction (čižoi = B); UR1 says čikoi = yB"
"6","myZ","čižoi",NA,NA,"","UR1(414)","zaitseva_novyi_2007","UR19 says no e/y distinction (čižoi = B); UR1 says čikoi = yB"
"7","mP","kazvatai",NA,NA,"","UR1(397)","zaitseva_novyi_2007",""
"8","mF","tat",NA,NA,"","UR1(304)","zaitseva_novyi_2007","Russian loan (UR19)"
"9","mM","mam",NA,NA,"","UR1(228)","zaitseva_novyi_2007","Russian loan (UR19)"
"10","mS","poig",NA,NA,"","UR1(438)","zaitseva_novyi_2007",""
"11","mD","tüt|är",NA,NA,"","UR1(129)","zaitseva_novyi_2007",""
"12","mA","ezitat",NA,NA,"","UR1(115)","zaitseva_novyi_2007",""
"13","mFF","uk",NA,NA,"dedoi","UR1(115)","zaitseva_novyi_2007",""
"14","mFM","ak",NA,NA,"baboi","UR1(28)","zaitseva_novyi_2007",""
"15","mMF","uk",NA,NA,"dedoi","UR1(115)","zaitseva_novyi_2007",""
"16","mMM","ak",NA,NA,"baboi","UR1(28)","zaitseva_novyi_2007",""
"17","mSS","vunuk",NA,NA,"","UR1(68)","zaitseva_novyi_2007","Russian loan (UR19)"
"18","mSD","vunuk",NA,NA,"","UR1(68)","zaitseva_novyi_2007","Russian loan (UR19)"
"19","mDS","vunuk",NA,NA,"","UR1(68)","zaitseva_novyi_2007","Russian loan (UR19)"
"20","mDD","vunuk",NA,NA,"","UR1(68)","zaitseva_novyi_2007","Russian loan (UR19)"
"21","mFB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"22","mFZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"23","mMB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"24","mMZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"25","mFeB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"26","mFyB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"27","mFeZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"28","mFyZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"29","mMeZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"30","mMyZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"31","mMeB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"32","mMyB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"33","mFBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"34","mFZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"35","mMBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"36","mMZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"37","mFeBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"38","mFyBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"39","mFeZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"40","mFyZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"41","mFeBD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"42","mFyBD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"43","mFeZD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"44","mFyZD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"45","mMeBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"46","mMyBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"47","mMeZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"48","mMyZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"49","mMeBD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"50","mMyBD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"51","mMeZD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"52","mMyZD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"53","mFBeS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"54","mFByS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"55","mFZeS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"56","mFZyS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"57","mFBeD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"58","mFByD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"59","mFZeD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"60","mFZyD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"61","mMBeS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"62","mMByS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"63","mMZeS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"64","mMZyS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"65","mMBeD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"66","mMByD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"67","mMZeD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"68","mMZyD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"69","mH","mužik",NA,NA,"","UR1(239)","zaitseva_novyi_2007",""
"70","mW","ak",NA,NA,"","UR1(139)","zaitseva_novyi_2007","ak' meaning lit. woman. 'murz'ai|n' used in context of a 'young' wife."
"71","mHF","ap",NA,NA,"","UR1(407)","zaitseva_novyi_2007",""
"72","mHM","anop",NA,NA,"","UR1(407)","zaitseva_novyi_2007",""
"73","mWF","a|p’",NA,NA,"","UR1(447)","zaitseva_novyi_2007",""
"74","mWM","ano|p",NA,NA,"","UR1(447)","zaitseva_novyi_2007",""
"75","mHB","küdu",NA,NA,"","UR1(115)","zaitseva_novyi_2007",""
"76","mHZ","nado",NA,NA,"","UR1(164)","zaitseva_novyi_2007",""
"77","mFW(notM)","emindam",NA,NA,"","UR1(229)","zaitseva_novyi_2007",""
"78","mMH(notF)","ižindam",NA,NA,"","UR1(309)","zaitseva_novyi_2007",""
"79","mSW","mi|l’l’",NA,NA,"","UR1(258)","zaitseva_novyi_2007",""
"80","mDH","vävu",NA,NA,"","UR1(165)","zaitseva_novyi_2007",""
"81","fB","ve|l'l'",NA,NA,"","UR1(47)","zaitseva_novyi_2007",""
"82","fZ","sizar",NA,NA,"","UR1(414)","zaitseva_novyi_2007",""
"83","feB","ve|l'l'",NA,NA,"","UR1(47)","zaitseva_novyi_2007","veik is eldest brother (UR19)"
"84","fyB","ve|l'l'",NA,NA,"","UR1(47)","zaitseva_novyi_2007",""
"85","feZ","čižoi",NA,NA,"","UR1(414)","zaitseva_novyi_2007","UR19 says no e/y distinction (čižoi = B); UR1 says čikoi = yB"
"86","fyZ","čižoi",NA,NA,"","UR1(414)","zaitseva_novyi_2007","UR19 says no e/y distinction (čižoi = B); UR1 says čikoi = yB"
"87","fP","kazvatai",NA,NA,"","UR1(397)","zaitseva_novyi_2007",""
"88","fF","tat",NA,NA,"","UR1(304)","zaitseva_novyi_2007","Russian loan (UR19)"
"89","fM","mam",NA,NA,"","UR1(228)","zaitseva_novyi_2007","Russian loan (UR19)"
"90","fS","poig",NA,NA,"","UR1(438)","zaitseva_novyi_2007",""
"91","fD","tüt|är",NA,NA,"","UR1(129)","zaitseva_novyi_2007",""
"92","fA","ezitat",NA,NA,"","UR1(115)","zaitseva_novyi_2007",""
"93","fFF","uk",NA,NA,"dedoi","UR1(115)","zaitseva_novyi_2007",""
"94","fFM","ak",NA,NA,"baboi","UR1(28)","zaitseva_novyi_2007",""
"95","fMF","uk",NA,NA,"dedoi","UR1(115)","zaitseva_novyi_2007",""
"96","fMM","ak",NA,NA,"baboi","UR1(28)","zaitseva_novyi_2007",""
"97","fSS","vunuk",NA,NA,"","UR1(68)","zaitseva_novyi_2007","Russian loan (UR19)"
"98","fSD","vunuk",NA,NA,"","UR1(68)","zaitseva_novyi_2007","Russian loan (UR19)"
"99","fDS","vunuk",NA,NA,"","UR1(68)","zaitseva_novyi_2007","Russian loan (UR19)"
"100","fDD","vunuk",NA,NA,"","UR1(68)","zaitseva_novyi_2007","Russian loan (UR19)"
"101","fFB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"102","fFZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"103","fMB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"104","fMZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"105","fFeB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"106","fFyB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"107","fFeZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"108","fFyZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"109","fMeZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"110","fMyZ","tädi",NA,NA,"","UR1(447)","zaitseva_novyi_2007","Russian loan (UR19)"
"111","fMeB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"112","fMyB","däd’",NA,NA,"","UR1(133)","zaitseva_novyi_2007","Russian loan (UR19)"
"113","fFBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"114","fFZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"115","fMBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"116","fMZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"117","fFeBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"118","fFyBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"119","fFeZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"120","fFyZS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"121","fFeBD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"122","fFyBD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"123","fFeZD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"124","fFyZD","sestrii",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"125","fMeBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
"126","fMyBS","bratan",NA,NA,"","UR1(114)","zaitseva_novyi_2007",""
