"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"1","mG","əed-wennad",NA,NA,"əwed; ənnaksed","UR4","kunnap_estonian_2015",""
"2","mB","wend",NA,NA,"weli","UR4","kunnap_estonian_2015",""
"3","mZ","əde",NA,NA,"səsar","UR4","kunnap_estonian_2015",""
"4","myB","noor̃em wend",NA,NA,"","UR4","kunnap_estonian_2015",""
"5","myZ","noor̃em əde",NA,NA,"","UR4","kunnap_estonian_2015",""
"6","mF","isa",NA,NA,"","UR4","kunnap_estonian_2015",""
"7","mM","ema",NA,NA,"","UR4","kunnap_estonian_2015",""
"8","mC","yær̃eltuliya",NA,NA,"","UR4","kunnap_estonian_2015",""
"9","mS","poeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"10","mD","tütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"11","mFF","wanaisa",NA,NA,"mamma; memm","UR4","kunnap_estonian_2015",""
"12","mFM","wanaema",NA,NA,"papa; taat","UR4","kunnap_estonian_2015",""
"13","mMF","wanaisa",NA,NA,"mamma; memm","UR4","kunnap_estonian_2015",""
"14","mMM","wanaema",NA,NA,"","UR4","kunnap_estonian_2015",""
"15","mSS","poyapoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"16","mSS","tütr̃epoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"17","mSD","poyatütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"18","mSD","tütr̃etütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"19","mDS","poyapoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"20","mDS","tütr̃epoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"21","mDD","poyatütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"22","mDD","tütr̃etütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"23","mFB","lell",NA,NA,"","UR4","kunnap_estonian_2015",""
"24","mFZ","sətse",NA,NA,"","UR4","kunnap_estonian_2015",""
"25","mMB","onu",NA,NA,"","UR4","kunnap_estonian_2015",""
"26","mMZ","tædi",NA,NA,"","UR4","kunnap_estonian_2015",""
"27","mBS","wennapoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"28","mBS","əepoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"29","mBD","wennatütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"30","mBD","əetütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"31","mZS","wennapoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"32","mZS","əepoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"33","mZD","wennatütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"34","mZD","əetütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"35","mFZD","nəbu",NA,NA,"","UR4","kunnap_estonian_2015",""
"36","mFBD","nəbu",NA,NA,"","UR4","kunnap_estonian_2015",""
"37","mMBD","nəbu",NA,NA,"","UR4","kunnap_estonian_2015",""
"38","mMZD","nəbu",NA,NA,"","UR4","kunnap_estonian_2015",""
"39","mFBS","nəbu",NA,NA,"","UR4","kunnap_estonian_2015",""
"40","mFZS","nəbu",NA,NA,"","UR4","kunnap_estonian_2015",""
"41","mMBS","nəbu",NA,NA,"","UR4","kunnap_estonian_2015",""
"42","mMZS","nəbu",NA,NA,"","UR4","kunnap_estonian_2015",""
"43","mH","mees",NA,NA,"","UR4","kunnap_estonian_2015",""
"44","mH","abikaasa",NA,NA,"","UR4","kunnap_estonian_2015",""
"45","mW","naine",NA,NA,"","UR4","kunnap_estonian_2015",""
"46","mW","abikaasa",NA,NA,"","UR4","kunnap_estonian_2015",""
"47","mHF","æi",NA,NA,"","UR4","kunnap_estonian_2015",""
"48","mHM","æmm",NA,NA,"","UR4","kunnap_estonian_2015",""
"49","mWF","æi",NA,NA,"","UR4","kunnap_estonian_2015",""
"50","mWM","æmm",NA,NA,"","UR4","kunnap_estonian_2015",""
"51","mSW","minia",NA,NA,"","UR4","kunnap_estonian_2015",""
"52","mSW","minia",NA,NA,"","UR4","kunnap_estonian_2015",""
"53","mDH","wæimees",NA,NA,"","UR4","kunnap_estonian_2015",""
"54","mDH","wæimees",NA,NA,"","UR4","kunnap_estonian_2015",""
"55","fG","əed-wennad",NA,NA,"əwed; ənnaksed","UR4","kunnap_estonian_2015",""
"56","fB","wend",NA,NA,"weli","UR4","kunnap_estonian_2015",""
"57","fZ","əde",NA,NA,"səsar","UR4","kunnap_estonian_2015",""
"58","fyB","noor̃em wend",NA,NA,"","UR4","kunnap_estonian_2015",""
"59","fyZ","noor̃em əde",NA,NA,"","UR4","kunnap_estonian_2015",""
"60","fF","isa",NA,NA,"","UR4","kunnap_estonian_2015",""
"61","fM","ema",NA,NA,"","UR4","kunnap_estonian_2015",""
"62","fC","yær̃eltuliya",NA,NA,"","UR4","kunnap_estonian_2015",""
"63","fS","poeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"64","fD","tütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"65","fFF","wanaisa",NA,NA,"mamma; memm","UR4","kunnap_estonian_2015",""
"66","fFM","wanaema",NA,NA,"papa; taat","UR4","kunnap_estonian_2015",""
"67","fMF","wanaisa",NA,NA,"mamma; memm","UR4","kunnap_estonian_2015",""
"68","fMM","wanaema",NA,NA,"","UR4","kunnap_estonian_2015",""
"69","fSS","poyapoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"70","fSS","tütr̃epoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"71","fSD","poyatütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"72","fSD","tütr̃etütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"73","fDS","poyapoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"74","fDS","tütr̃epoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"75","fDD","poyatütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"76","fDD","tütr̃etütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"77","fFB","lell",NA,NA,"","UR4","kunnap_estonian_2015",""
"78","fFZ","sətse",NA,NA,"","UR4","kunnap_estonian_2015",""
"79","fMB","onu",NA,NA,"","UR4","kunnap_estonian_2015",""
"80","fMZ","tædi",NA,NA,"","UR4","kunnap_estonian_2015",""
"81","fBS","wennapoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"82","fBS","əepoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
"83","fBD","wennatütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"84","fBD","əetütar̃",NA,NA,"","UR4","kunnap_estonian_2015",""
"85","fZS","wennapoeg",NA,NA,"","UR4","kunnap_estonian_2015",""
