"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"79","mMeZ","ičinʸ",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"80","mMyZ","ičinʸ",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"81","mMeB","čož",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"82","mMyB","čož",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"83","meBS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"84","myBS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"85","meBD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"86","myBD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"87","meZS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"88","myZS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"89","meZD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"90","myZD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"91","mFeBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"92","mFeBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"93","mFeBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"94","mFyBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"95","mFyBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"96","mFyBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"97","mFeZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"98","mFeZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"99","mFeZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"100","mFyZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"101","mFyZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"102","mFyZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"103","mFeBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"104","mFeBD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"105","mFeBD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"106","mFyBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"107","mFyBD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"108","mFyBD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"109","mFeZD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"110","mFeZD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"111","mFeZD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"112","mFyZD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"113","mFyZD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"114","mFyZD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"115","mMeBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"116","mMeBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"117","mMeBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"118","mMyBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"119","mMyBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"120","mMyBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"121","mMeZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"122","mMeZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"123","mMeZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"124","mMyZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"125","mMyZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"126","mMyZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"127","mMeBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"128","mMeBD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"129","mMeBD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"130","mMyBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"131","mMyBD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"132","mMyBD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"133","mMeZD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"134","mMeZD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"135","mMeZD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"136","mMyZD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"137","mMyZD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"138","mMyZD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"139","mFBeS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"140","mFBeS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"141","mFBeS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"142","mFByS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"143","mFByS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"144","mFByS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"145","mFZeS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"146","mFZeS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"147","mFZeS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"148","mFZyS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"149","mFZyS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"150","mFZyS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"151","mFBeD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"152","mFBeD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"153","mFBeD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"154","mFByD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"155","mFByD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"156","mFByD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"157","mFZeD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"158","mFZeD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"159","mFZeD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"160","mFZyD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"161","mFZyD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"162","mFZyD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"163","mMBeS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"164","mMBeS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"165","mMBeS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"166","mMByS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"167","mMByS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"168","mMByS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"169","mMZeS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"170","mMZeS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"171","mMZeS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"172","mMZyS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"173","mMZyS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"174","mMZyS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"175","mMBeD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"176","mMBeD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"177","mMBeD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"178","mMByD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"179","mMByD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"180","mMByD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"181","mMZeD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"182","mMZeD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"183","mMZeD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"184","mMZyD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
