"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"111","fMF","pokštʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"112","fMM","sɨr̃ʸe baba",NA,NA,NA,"UR3","erina_erzya_2015",""
"113","fSS","nuc̷ʸka",NA,NA,NA,"UR3","erina_erzya_2015",""
"114","fSD","nuc̷ʸka",NA,NA,NA,"UR3","erina_erzya_2015",""
"115","fDS","nuc̷ʸka",NA,NA,NA,"UR3","erina_erzya_2015",""
"116","fDD","nuc̷ʸka",NA,NA,NA,"UR3","erina_erzya_2015",""
"117","fFB","lʸelʸax",NA,NA,NA,"UR3","erina_erzya_2015",""
"118","fFZ","sɨr̃ʸkay",NA,NA,NA,"UR3","erina_erzya_2015",""
"119","fMB","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"120","fMZ","sɨr̃ʸkay",NA,NA,NA,"UR3","erina_erzya_2015",""
"121","fBS","lʸelʸanʸ c̷ʸor̃a",NA,NA,NA,"UR3","erina_erzya_2015",""
"122","fBD","patʸanʸ tʸeytʸer̃ʸ",NA,NA,NA,"UR3","erina_erzya_2015",""
"123","fZS","lʸelʸanʸ c̷ʸor̃a",NA,NA,NA,"UR3","erina_erzya_2015",""
"124","fZD","patʸanʸ tʸeytʸer̃ʸ",NA,NA,NA,"UR3","erina_erzya_2015",""
"125","fFZD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"126","fFBD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"127","fMBD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"128","fMZD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"129","fFBS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"130","fFZS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"131","fMBS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"132","fMZS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"133","fH","mir̃ʸdʸe",NA,NA,NA,"UR3","erina_erzya_2015",""
"134","fW","nʸi",NA,NA,NA,"UR3","erina_erzya_2015",""
"135","fHF","atʸavt",NA,NA,NA,"UR3","erina_erzya_2015",""
"136","fHM","avavt",NA,NA,NA,"UR3","erina_erzya_2015",""
"137","fWF","atʸavt",NA,NA,NA,"UR3","erina_erzya_2015",""
"138","fWM","nʸizanʸa",NA,NA,NA,"UR3","erina_erzya_2015",""
"139","fSW","ur̃ʸva",NA,NA,NA,"UR3","erina_erzya_2015",""
"140","fSW","ur̃ʸaž",NA,NA,NA,"UR3","erina_erzya_2015",""
"141","fDH","sodamo",NA,NA,NA,"UR3","erina_erzya_2015",""
"142","fDH","sodamo",NA,NA,NA,"UR3","erina_erzya_2015",""
"143","feB","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"144","feZ","patʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"145","fFeB","lʸelʸax",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"146","fFyB","lʸelʸax",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"147","fFeZ","sɨr̃ʸkay",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"148","fFyZ","sɨr̃ʸkay",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"149","fMeZ","sɨr̃ʸkay",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"150","fMyZ","sɨr̃ʸkay",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"151","fMeB","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"152","fMyB","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"153","feBS","lʸelʸanʸ c̷ʸor̃a",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"154","fyBS","lʸelʸanʸ c̷ʸor̃a",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"155","feBD","patʸanʸ tʸeytʸer̃ʸ",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"156","fyBD","patʸanʸ tʸeytʸer̃ʸ",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"157","feZS","lʸelʸanʸ c̷ʸor̃a",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"158","fyZS","lʸelʸanʸ c̷ʸor̃a",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"159","feZD","patʸanʸ tʸeytʸer̃ʸ",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"160","fyZD","patʸanʸ tʸeytʸer̃ʸ",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"161","fFeBS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"162","fFyBS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"163","fFeZS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"164","fFyZS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"165","fFeBD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"166","fFyBD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"167","fFeZD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"168","fFyZD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"169","fMeBS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"170","fMyBS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"171","fMeZS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"172","fMyZS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"173","fMeBD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"174","fMyBD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"175","fMeZD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"176","fMyZD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"177","fFBeS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"178","fFByS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"179","fFZeS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"180","fFZyS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"181","fFBeD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"182","fFByD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"183","fFZeD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"184","fFZyD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"185","fMBeS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"186","fMByS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"187","fMZeS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"188","fMZyS","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"189","fMBeD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"190","fMByD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"191","fMZeD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
"192","fMZyD","lʸelʸa",NA,NA,NA,"UR3","erina_erzya_2015","Inferred; NA"
