,X,parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
99,99,mZH,lanko,,male ego's sister's husband,,,,
100,100,fZH,lanko,,female ego's sister's husband,,,,
101,101,mFW(notM),äitipuoli,,male ego's father's wife (not mother),,,,
102,102,fFW(notM),äitipuoli,,female ego's father's wife (not mother),,,,
103,103,mMH(notF),isäpuoli,,male ego's mother's husband (not father),,,,
104,104,fMH(notF),isäpuoli,,female ego's mother's husband (not father),,,,
105,105,mFBS,serkku,,male ego's father's brother's son,,,,
106,106,mFZS,serkku,,male ego's father's sister's son,,,,
107,107,mMBS,serkku,,male ego's mother's brother's son,,,,
108,108,mMZS,serkku,,male ego's mother's sister's son,,,,
109,109,mFBD,serkku,,male ego's father's brother's daughter,,,,
110,110,mFZD,serkku,,male ego's father's sister's daughter,,,,
111,111,mMBD,serkku,,male ego's mother's brother's daughter,,,,
112,112,mMZD,serkku,,male ego's mother's sister's daughter,,,,
113,113,fFBS,serkku,,female ego's father's brother's son,,,,
114,114,fFZS,serkku,,female ego's father's sister's son,,,,
115,115,fMBS,serkku,,female ego's mother's brother's son,,,,
116,116,fMZS,serkku,,female ego's mother's sister's son,,,,
117,117,fFBD,serkku,,female ego's father's brother's daughter,,,,
118,118,fFZD,serkku,,female ego's father's sister's daughter,,,,
119,119,fMBD,serkku,,female ego's mother's brother's daughter,,,,
120,120,fMZD,serkku,,female ego's mother's sister's daughter,,,,
121,1051,mFeBS,serkku,,male ego's father's brother's son,,,,Inferred; 
122,1052,mFyBS,serkku,,male ego's father's brother's son,,,,Inferred; 
123,1061,mFeZS,serkku,,male ego's father's sister's son,,,,Inferred; 
124,1062,mFyZS,serkku,,male ego's father's sister's son,,,,Inferred; 
125,1091,mFeBD,serkku,,male ego's father's brother's daughter,,,,Inferred; 
126,1092,mFyBD,serkku,,male ego's father's brother's daughter,,,,Inferred; 
127,1101,mFeZD,serkku,,male ego's father's sister's daughter,,,,Inferred; 
128,1102,mFyZD,serkku,,male ego's father's sister's daughter,,,,Inferred; 
129,1071,mMeBS,serkku,,male ego's mother's brother's son,,,,Inferred; 
130,1072,mMyBS,serkku,,male ego's mother's brother's son,,,,Inferred; 
131,1081,mMeZS,serkku,,male ego's mother's sister's son,,,,Inferred; 
132,1082,mMyZS,serkku,,male ego's mother's sister's son,,,,Inferred; 
133,1111,mMeBD,serkku,,male ego's mother's brother's daughter,,,,Inferred; 
