"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"1","mG","yaɣpɨɣ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"2","mG","yaɣaɣi",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"3","mB","yaɣpɨɣ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"4","mZ","yaɣaɣi",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"5","myB","apsʸi",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"6","myZ","esʸ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"7","mF","asʸ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"8","mM","aŋk",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"9","mM","oma",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"10","mM","sʸanʸ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"11","mC","yuw-xulʸtne aɣi-pɨɣ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"12","mS","pɨɣ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"13","mD","aɣi",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"14","mFF","opa",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"15","mFF","asʸoyka",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"16","mFM","anʸekwa",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"17","mFM","sʸasʸekwa",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"18","mMF","opa",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"19","mMF","asʸoyka",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"20","mMM","anʸekwa",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"21","mMM","sʸasʸekwa",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"22","mSS","apɨɣ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"23","mSD","apɨɣ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"24","mDS","apɨɣ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"25","mDD","apɨɣ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"26","mFB","akʸi",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"27","mFB","kaŋk",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"28","mFZ","akw",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"29","mFZ","uwsʸi",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"30","mMB","sasɨɣ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"31","mMZ","akw",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"32","mMZ","nɨy",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"33","mBS","pant",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"34","mBS","apsʸi",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"35","mBS","kaŋk",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"36","mBD","eŋk",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"37","mBD","esʸ",NA,NA,NA,"UR6","lyskova_mansi_2015",""
"38","mBD","uwsʸi",NA,NA,NA,"UR6","lyskova_mansi_2015",""
