parameter,word,ipa,description,alternative,source_raw,source_bibtext,comments
mWZH,svaaik,,,,,Moshnikoff & Moshnikoff 2021: 169; Pelto 1962: 68–69,
mHBW,,,,,,,
fG,vueʹbbež,,,,,Moshnikoff & Moshnikoff 2021: 337,
fB,villj,,,,,Moshnikoff & Moshnikoff 2021: 421,
fZ,vuäʹbb,,,,,Moshnikoff & Moshnikoff 2021: 338,
feB,,,,,,,
fyB,,,,,,,
feZ,,,,,,,
fyZ,,,,,,,
fP,puärraz,,,,,Moshnikoff & Moshnikoff 2021: 414,
fF,eʹčč,,,,,Moshnikoff & Moshnikoff 2021: 77,
fM,jeäʹnn,,,,,Moshnikoff & Moshnikoff 2021: 449,
fC,päärnaž,,,,,Moshnikoff & Moshnikoff 2021: 170,
fS,âʹlǧǧ,,,,,Moshnikoff & Moshnikoff 2021: 273,
fS,päʹrnn,,,,,Moshnikoff & Moshnikoff 2021: 273,
fD,nijdd,,,,,Moshnikoff & Moshnikoff 2021: 394,
fA,maaddârpuärraz,,,,,Moshnikoff & Moshnikoff 2021: 37,
fA,maaddârruåđ,,,,,Moshnikoff & Moshnikoff 2021: 37,
fA,maaddâreʹčč,,,,,Moshnikoff & Moshnikoff 2021: 36,
fA,maaddâräʹjj,,,,,Moshnikoff & Moshnikoff 2021: 36,
fA,maaddâräkk,,,,,Moshnikoff & Moshnikoff 2021: 37,
fPP,,,,,,,
fFF,äʹjj,,,,,Moshnikoff & Moshnikoff 2021: 76,
fFM,äkk,,,,,Moshnikoff & Moshnikoff 2021: 77,
fMF,äʹjj,,,,,Moshnikoff & Moshnikoff 2021: 76,
fMM,äkk,,,,,Moshnikoff & Moshnikoff 2021: 77,
fMM,jieʹnnjeäʹnn,,,,,Moshnikoff & Moshnikoff 2021: 448,
fCC,äkkav,,,,,Moshnikoff & Moshnikoff 2021: 170,grandchild to their grandmother
fCC,pääʹrnpäärnaž,,,,,Moshnikoff & Moshnikoff 2021: 170,
fSS,pääʹrnpäʹrnn,,,,,Moshnikoff & Moshnikoff 2021: 274,
fSD,pääʹrn-nijdd,,,,,Moshnikoff & Moshnikoff 2021: 274,
fDS,niõđpäʹrnn,,,,,Moshnikoff & Moshnikoff 2021: 394,
fDD,niõđnijdd,,,,,Moshnikoff & Moshnikoff 2021: 394,
fFB,,,,,,,
fFZ,sieʹss,,,,,Moshnikoff & Moshnikoff 2021: 397,
fMB,jään,,,,,Moshnikoff & Moshnikoff 2021: 34,
fMZ,,,,,,,
fFeB,jieʹǩǩ,,,,,Moshnikoff & Moshnikoff 2021: 331,
fFyB,čieʹcc,,,,,Moshnikoff & Moshnikoff 2021: 331,
fFeZ,,,,,,,
fFyZ,,,,,,,
fMeZ,kuäʹsǩǩ,,,,,Moshnikoff & Moshnikoff 2021: 397,
fMyZ,mueʹđđ,,,,,Moshnikoff & Moshnikoff 2021: 397,
fMeB,,,,,,,
fMyB,,,,,,,
fBS,sieʹssev,,,,,Moshnikoff & Moshnikoff 2021: 421,nephew/niece to their father's sister
fBD,sieʹssev,,,,,Moshnikoff & Moshnikoff 2021: 421,nephew/niece to their father's sister
fZS,,,,,,,
fZD,,,,,,,
feBS,,,,,,,
fyBS,,,,,,,
feBD,,,,,,,
fyBD,,,,,,,
feZS,mue´đđev  ,,,,,Moshnikoff & Moshnikoff 2021: 337,nephew/niece to mother's younger sister
fyZS,kuä´sǩǩev  ,,,,,Moshnikoff & Moshnikoff 2021: 337,nephew/niece to mother's older sister
feZD,mue´đđev  ,,,,,Moshnikoff & Moshnikoff 2021: 337,nephew/niece to mother's younger sister
fyZD,kuä´sǩǩev  ,,,,,Moshnikoff & Moshnikoff 2021: 337,nephew/niece to mother's older sister
fFZD,vuäʹrnnpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 221,
fFBD,vuäʹrnnpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 221,
fMBD,vuäʹrnnpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 221,
fMZD,vuäʹrnnpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 221,
fFBS,villjpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 208,
fFZS,villjpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 208,
fMBS,villjpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 208,
fMZS,villjpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 208,
fFeBS,,,,,,,
fFyBS,,,,,,,
fFeZS,,,,,,,
fFyZS,,,,,,,
fFeBD,,,,,,,
fFyBD,,,,,,,
fFeZD,,,,,,,
fFyZD,,,,,,,
fMeBS,,,,,,,
fMyBS,,,,,,,
fMeZS,,,,,,,
fMyZS,,,,,,,
fMeBD,,,,,,,
fMyBD,,,,,,,
fMeZD,,,,,,,
fMyZD,,,,,,,
fFBeS,,,,,,,
fFByS,,,,,,,
fFZeS,,,,,,,
fFZyS,,,,,,,
fFBeD,,,,,,,
fFByD,,,,,,,
fFZeD,,,,,,,
fFZyD,,,,,,,
fMBeS,,,,,,,
fMByS,,,,,,,
fMZeS,,,,,,,
fMZyS,,,,,,,
fMBeD,,,,,,,
fMByD,,,,,,,
fMZeD,,,,,,,
fMZyD,,,,,,,
fE,pieʹllkueiʹmm,,,,,Moshnikoff & Moshnikoff 2021: 26,
fH,kuõjj,,,,,Moshnikoff & Moshnikoff 2021: 26,
fH,kääʹlles,,,,,Moshnikoff & Moshnikoff 2021: 26,not young'
fW,,,,,,,
fHF,vuõpp,,,,,Moshnikoff & Moshnikoff 2021: 20,
fHM,vueʹn,,,,,Moshnikoff & Moshnikoff 2021: 19,
fWF,,,,,,,
fWM,,,,,,,
fBW,,,,,,,
feBW,eʹmm,,,,,Moshnikoff & Moshnikoff 2021: 159; Pelto 1962: 68–69,
fyBW,mââʹnnj,,,,,Moshnikoff & Moshnikoff 2021: 209; Pelto 1962: 68–69,
fZH,,,,,,,
feZH,maakk,,,,,Moshnikoff & Moshnikoff 2021: 169; Pelto 1962: 68–69,
fyZH,vivv,,,,,Moshnikoff & Moshnikoff 2021: 442; Pelto 1962: 68–69,
fWB,,,,,,,
fWZ,,,,,,,
fHB,,,,,,,
fHeB,vuõppbieʹll,,,,,Pelto 1962: 68–69,
fHyB,maakkâv,,,,,Pelto 1962: 68–69,
fHZ,,,,,,,
fHeZ,vueʹnbieʹll,,,,,Pelto 1962: 68–69,
