,X,parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
60,60,mSW,mʸenʸ,,,,UR10,kochkareva_khanty_2015,
61,61,mDH,wʸeŋ,,,,UR10,kochkareva_khanty_2015,
62,62,mDH,ur̃ti wʸeŋ,,,,UR10,kochkareva_khanty_2015,
63,63,meB,yiwpux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
64,64,meZ,yiwewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
65,65,mFeB,aki,,,,UR10,kochkareva_khanty_2015,Inferred; NA
66,66,mFeB,yay,,,,UR10,kochkareva_khanty_2015,Inferred; NA
67,67,mFyB,aki,,,,UR10,kochkareva_khanty_2015,Inferred; NA
68,68,mFyB,yay,,,,UR10,kochkareva_khanty_2015,Inferred; NA
69,69,mFeZ,imi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
70,70,mFeZ,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
71,71,mFyZ,imi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
72,72,mFyZ,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
73,73,mMeZ,imi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
74,74,mMeZ,nɨy,,,,UR10,kochkareva_khanty_2015,Inferred; NA
75,75,mMyZ,imi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
76,76,mMyZ,nɨy,,,,UR10,kochkareva_khanty_2015,Inferred; NA
77,77,mMeB,wər̃tɨ,,,,UR10,kochkareva_khanty_2015,Inferred; NA
78,78,mMyB,wər̃tɨ,,,,UR10,kochkareva_khanty_2015,Inferred; NA
79,79,meBS,lexə,,,,UR10,kochkareva_khanty_2015,Inferred; NA
80,80,myBS,lexə,,,,UR10,kochkareva_khanty_2015,Inferred; NA
81,81,meBD,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
82,82,myBD,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
83,83,meZS,lexə,,,,UR10,kochkareva_khanty_2015,Inferred; NA
84,84,myZS,lexə,,,,UR10,kochkareva_khanty_2015,Inferred; NA
85,85,meZD,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
86,86,myZD,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
87,87,mFeBS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
88,88,mFeBS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
89,89,mFyBS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
90,90,mFyBS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
91,91,mFeZS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
92,92,mFeZS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
93,93,mFyZS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
94,94,mFyZS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
95,95,mFeBD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
96,96,mFeBD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
97,97,mFyBD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
98,98,mFyBD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
99,99,mFeZD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
100,100,mFeZD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
101,101,mFyZD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
102,102,mFyZD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
103,103,mMeBS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
104,104,mMeBS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
105,105,mMyBS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
106,106,mMyBS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
107,107,mMeZS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
108,108,mMeZS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
109,109,mMyZS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
110,110,mMyZS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
111,111,mMeBD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
112,112,mMeBD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
113,113,mMyBD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
114,114,mMyBD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
115,115,mMeZD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
116,116,mMeZD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
117,117,mMyZD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
118,118,mMyZD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
119,119,mFBeS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
120,120,mFBeS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
121,121,mFByS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
122,122,mFByS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
123,123,mFZeS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
124,124,mFZeS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
125,125,mFZyS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
126,126,mFZyS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
127,127,mFBeD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
128,128,mFBeD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
129,129,mFByD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
130,130,mFByD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
131,131,mFZeD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
132,132,mFZeD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
133,133,mFZyD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
134,134,mFZyD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
135,135,mMBeS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
136,136,mMBeS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
137,137,mMByS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
138,138,mMByS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
139,139,mMZeS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
140,140,mMZeS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
141,141,mMZyS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
142,142,mMZyS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
143,143,mMBeD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
144,144,mMBeD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
145,145,mMByD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
146,146,mMByD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
147,147,mMZeD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
148,148,mMZeD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
149,149,mMZyD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
150,150,mMZyD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
151,151,fG,yiwpux,,,,UR10,kochkareva_khanty_2015,
152,152,fG,yiwewi,,,,UR10,kochkareva_khanty_2015,
153,153,fB,yiwpux,,,,UR10,kochkareva_khanty_2015,
154,154,fZ,yiwewi,,,,UR10,kochkareva_khanty_2015,
155,155,fyB,apsʸi,,,,UR10,kochkareva_khanty_2015,
156,156,fyB,apal,,,,UR10,kochkareva_khanty_2015,
157,157,fyZ,apsʸi,,,,UR10,kochkareva_khanty_2015,
158,158,fyZ,apalne,,,,UR10,kochkareva_khanty_2015,
159,159,fF,asʸi,,,,UR10,kochkareva_khanty_2015,
160,160,fM,aŋki,,,,UR10,kochkareva_khanty_2015,
161,161,fC,yultɨ xasʸtɨ ewi-pux,,,,UR10,kochkareva_khanty_2015,
162,162,fS,pux,,,,UR10,kochkareva_khanty_2015,
163,163,fD,ewi,,,,UR10,kochkareva_khanty_2015,
164,164,fFF,aŋksʸasʸi,,,,UR10,kochkareva_khanty_2015,
165,165,fFF,sʸatsʸasʸi,,,,UR10,kochkareva_khanty_2015,
166,166,fFM,aŋkaŋkʸi,,,,UR10,kochkareva_khanty_2015,
167,167,fFM,sʸasʸi,,,,UR10,kochkareva_khanty_2015,
168,168,fMF,aŋksʸasʸi,,,,UR10,kochkareva_khanty_2015,
169,169,fMF,sʸatsʸasʸi,,,,UR10,kochkareva_khanty_2015,
170,170,fMM,aŋkaŋkʸi,,,,UR10,kochkareva_khanty_2015,
171,171,fMM,sʸasʸi,,,,UR10,kochkareva_khanty_2015,
172,172,fSS,xilɨ,,,,UR10,kochkareva_khanty_2015,
173,173,fSD,xilne,,,,UR10,kochkareva_khanty_2015,
174,174,fDS,xilɨ,,,,UR10,kochkareva_khanty_2015,
175,175,fDD,xilne,,,,UR10,kochkareva_khanty_2015,
176,176,fFB,aki,,,,UR10,kochkareva_khanty_2015,
177,177,fFB,yay,,,,UR10,kochkareva_khanty_2015,
178,178,fFZ,imi,,,,UR10,kochkareva_khanty_2015,
179,179,fFZ,or̃tne,,,,UR10,kochkareva_khanty_2015,
180,180,fMB,wər̃tɨ,,,,UR10,kochkareva_khanty_2015,
181,181,fMZ,imi,,,,UR10,kochkareva_khanty_2015,
182,182,fMZ,nɨy,,,,UR10,kochkareva_khanty_2015,
183,183,fBS,lexə,,,,UR10,kochkareva_khanty_2015,
184,184,fBD,or̃tne,,,,UR10,kochkareva_khanty_2015,
185,185,fZS,lexə,,,,UR10,kochkareva_khanty_2015,
186,186,fZD,or̃tne,,,,UR10,kochkareva_khanty_2015,
187,187,fFZD,aspux,,,,UR10,kochkareva_khanty_2015,
188,188,fFZD,asewi,,,,UR10,kochkareva_khanty_2015,
189,189,fFBD,aspux,,,,UR10,kochkareva_khanty_2015,
190,190,fFBD,asewi,,,,UR10,kochkareva_khanty_2015,
191,191,fMBD,aspux,,,,UR10,kochkareva_khanty_2015,
192,192,fMBD,asewi,,,,UR10,kochkareva_khanty_2015,
193,193,fMZD,aspux,,,,UR10,kochkareva_khanty_2015,
194,194,fMZD,asewi,,,,UR10,kochkareva_khanty_2015,
195,195,fFBS,aspux,,,,UR10,kochkareva_khanty_2015,
196,196,fFBS,asewi,,,,UR10,kochkareva_khanty_2015,
197,197,fFZS,aspux,,,,UR10,kochkareva_khanty_2015,
198,198,fFZS,asewi,,,,UR10,kochkareva_khanty_2015,
199,199,fMBS,aspux,,,,UR10,kochkareva_khanty_2015,
200,200,fMBS,asewi,,,,UR10,kochkareva_khanty_2015,
201,201,fMZS,aspux,,,,UR10,kochkareva_khanty_2015,
202,202,fMZS,asewi,,,,UR10,kochkareva_khanty_2015,
203,203,fH,iki ~ xə,,,,UR10,kochkareva_khanty_2015,
204,204,fW,imi,,,,UR10,kochkareva_khanty_2015,
205,205,fHF,kʸilɨ ikʸi,,,,UR10,kochkareva_khanty_2015,
206,206,fHM,kʸilɨ imʸi,,,,UR10,kochkareva_khanty_2015,
207,207,fWF,kʸilɨ ikʸi,,,,UR10,kochkareva_khanty_2015,
208,208,fWM,kʸilɨ imʸi,,,,UR10,kochkareva_khanty_2015,
209,209,fSW,mʸenʸ,,,,UR10,kochkareva_khanty_2015,
210,210,fSW,mʸenʸ,,,,UR10,kochkareva_khanty_2015,
211,211,fDH,wʸeŋ,,,,UR10,kochkareva_khanty_2015,
212,212,fDH,ur̃ti wʸeŋ,,,,UR10,kochkareva_khanty_2015,
213,213,feB,yiwpux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
214,214,feZ,yiwewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
215,215,fFeB,aki,,,,UR10,kochkareva_khanty_2015,Inferred; NA
216,216,fFeB,yay,,,,UR10,kochkareva_khanty_2015,Inferred; NA
217,217,fFyB,aki,,,,UR10,kochkareva_khanty_2015,Inferred; NA
218,218,fFyB,yay,,,,UR10,kochkareva_khanty_2015,Inferred; NA
219,219,fFeZ,imi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
220,220,fFeZ,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
221,221,fFyZ,imi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
222,222,fFyZ,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
223,223,fMeZ,imi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
224,224,fMeZ,nɨy,,,,UR10,kochkareva_khanty_2015,Inferred; NA
225,225,fMyZ,imi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
226,226,fMyZ,nɨy,,,,UR10,kochkareva_khanty_2015,Inferred; NA
227,227,fMeB,wər̃tɨ,,,,UR10,kochkareva_khanty_2015,Inferred; NA
228,228,fMyB,wər̃tɨ,,,,UR10,kochkareva_khanty_2015,Inferred; NA
229,229,feBS,lexə,,,,UR10,kochkareva_khanty_2015,Inferred; NA
230,230,fyBS,lexə,,,,UR10,kochkareva_khanty_2015,Inferred; NA
231,231,feBD,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
232,232,fyBD,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
233,233,feZS,lexə,,,,UR10,kochkareva_khanty_2015,Inferred; NA
234,234,fyZS,lexə,,,,UR10,kochkareva_khanty_2015,Inferred; NA
235,235,feZD,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
236,236,fyZD,or̃tne,,,,UR10,kochkareva_khanty_2015,Inferred; NA
237,237,fFeBS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
238,238,fFeBS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
239,239,fFyBS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
240,240,fFyBS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
241,241,fFeZS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
242,242,fFeZS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
243,243,fFyZS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
244,244,fFyZS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
245,245,fFeBD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
246,246,fFeBD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
247,247,fFyBD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
248,248,fFyBD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
249,249,fFeZD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
250,250,fFeZD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
251,251,fFyZD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
252,252,fFyZD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
253,253,fMeBS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
254,254,fMeBS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
255,255,fMyBS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
256,256,fMyBS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
257,257,fMeZS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
258,258,fMeZS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
259,259,fMyZS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
260,260,fMyZS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
261,261,fMeBD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
262,262,fMeBD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
263,263,fMyBD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
264,264,fMyBD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
265,265,fMeZD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
266,266,fMeZD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
267,267,fMyZD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
268,268,fMyZD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
269,269,fFBeS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
270,270,fFBeS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
271,271,fFByS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
272,272,fFByS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
273,273,fFZeS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
274,274,fFZeS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
275,275,fFZyS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
276,276,fFZyS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
277,277,fFBeD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
278,278,fFBeD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
279,279,fFByD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
280,280,fFByD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
281,281,fFZeD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
282,282,fFZeD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
283,283,fFZyD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
284,284,fFZyD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
285,285,fMBeS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
286,286,fMBeS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
287,287,fMByS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
288,288,fMByS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
289,289,fMZeS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
290,290,fMZeS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
291,291,fMZyS,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
292,292,fMZyS,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
293,293,fMBeD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
294,294,fMBeD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
295,295,fMByD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
296,296,fMByD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
297,297,fMZeD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
298,298,fMZeD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
299,299,fMZyD,aspux,,,,UR10,kochkareva_khanty_2015,Inferred; NA
300,300,fMZyD,asewi,,,,UR10,kochkareva_khanty_2015,Inferred; NA
