,X,parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
1,1,mG,yiwpux,,,,UR10,kochkareva_khanty_2015,
2,2,mG,yiwewi,,,,UR10,kochkareva_khanty_2015,
3,3,mB,yiwpux,,,,UR10,kochkareva_khanty_2015,
4,4,mZ,yiwewi,,,,UR10,kochkareva_khanty_2015,
5,5,myB,apsʸi,,,,UR10,kochkareva_khanty_2015,
6,6,myB,apal,,,,UR10,kochkareva_khanty_2015,
7,7,myZ,apsʸi,,,,UR10,kochkareva_khanty_2015,
8,8,myZ,apalne,,,,UR10,kochkareva_khanty_2015,
9,9,mF,asʸi,,,,UR10,kochkareva_khanty_2015,
10,10,mM,aŋki,,,,UR10,kochkareva_khanty_2015,
11,11,mC,yultɨ xasʸtɨ ewi-pux,,,,UR10,kochkareva_khanty_2015,
12,12,mS,pux,,,,UR10,kochkareva_khanty_2015,
13,13,mD,ewi,,,,UR10,kochkareva_khanty_2015,
14,14,mFF,aŋksʸasʸi,,,,UR10,kochkareva_khanty_2015,
15,15,mFF,sʸatsʸasʸi,,,,UR10,kochkareva_khanty_2015,
16,16,mFM,aŋkaŋkʸi,,,,UR10,kochkareva_khanty_2015,
17,17,mFM,sʸasʸi,,,,UR10,kochkareva_khanty_2015,
18,18,mMF,aŋksʸasʸi,,,,UR10,kochkareva_khanty_2015,
19,19,mMF,sʸatsʸasʸi,,,,UR10,kochkareva_khanty_2015,
20,20,mMM,aŋkaŋkʸi,,,,UR10,kochkareva_khanty_2015,
21,21,mMM,sʸasʸi,,,,UR10,kochkareva_khanty_2015,
22,22,mSS,xilɨ,,,,UR10,kochkareva_khanty_2015,
23,23,mSD,xilne,,,,UR10,kochkareva_khanty_2015,
24,24,mDS,xilɨ,,,,UR10,kochkareva_khanty_2015,
25,25,mDD,xilne,,,,UR10,kochkareva_khanty_2015,
26,26,mFB,aki,,,,UR10,kochkareva_khanty_2015,
27,27,mFB,yay,,,,UR10,kochkareva_khanty_2015,
28,28,mFZ,imi,,,,UR10,kochkareva_khanty_2015,
29,29,mFZ,or̃tne,,,,UR10,kochkareva_khanty_2015,
30,30,mMB,wər̃tɨ,,,,UR10,kochkareva_khanty_2015,
31,31,mMZ,imi,,,,UR10,kochkareva_khanty_2015,
32,32,mMZ,nɨy,,,,UR10,kochkareva_khanty_2015,
33,33,mBS,lexə,,,,UR10,kochkareva_khanty_2015,
34,34,mBD,or̃tne,,,,UR10,kochkareva_khanty_2015,
35,35,mZS,lexə,,,,UR10,kochkareva_khanty_2015,
36,36,mZD,or̃tne,,,,UR10,kochkareva_khanty_2015,
37,37,mFZD,aspux,,,,UR10,kochkareva_khanty_2015,
38,38,mFZD,asewi,,,,UR10,kochkareva_khanty_2015,
39,39,mFBD,aspux,,,,UR10,kochkareva_khanty_2015,
40,40,mFBD,asewi,,,,UR10,kochkareva_khanty_2015,
41,41,mMBD,aspux,,,,UR10,kochkareva_khanty_2015,
42,42,mMBD,asewi,,,,UR10,kochkareva_khanty_2015,
43,43,mMZD,aspux,,,,UR10,kochkareva_khanty_2015,
44,44,mMZD,asewi,,,,UR10,kochkareva_khanty_2015,
45,45,mFBS,aspux,,,,UR10,kochkareva_khanty_2015,
46,46,mFBS,asewi,,,,UR10,kochkareva_khanty_2015,
47,47,mFZS,aspux,,,,UR10,kochkareva_khanty_2015,
48,48,mFZS,asewi,,,,UR10,kochkareva_khanty_2015,
49,49,mMBS,aspux,,,,UR10,kochkareva_khanty_2015,
50,50,mMBS,asewi,,,,UR10,kochkareva_khanty_2015,
51,51,mMZS,aspux,,,,UR10,kochkareva_khanty_2015,
52,52,mMZS,asewi,,,,UR10,kochkareva_khanty_2015,
53,53,mH,iki ~ xə,,,,UR10,kochkareva_khanty_2015,
54,54,mW,imi,,,,UR10,kochkareva_khanty_2015,
55,55,mHF,kʸilɨ ikʸi,,,,UR10,kochkareva_khanty_2015,
56,56,mHM,kʸilɨ imʸi,,,,UR10,kochkareva_khanty_2015,
57,57,mWF,kʸilɨ ikʸi,,,,UR10,kochkareva_khanty_2015,
58,58,mWM,kʸilɨ imʸi,,,,UR10,kochkareva_khanty_2015,
59,59,mSW,mʸenʸ,,,,UR10,kochkareva_khanty_2015,
